id,name,tags,difficulty,url,solved,dateAdded,addedBy,addedByUrl,likes,dislikes
2002C,Black Circles,"[""brute force"", ""geometry"", ""greedy"", ""math""]",1200,https://codeforces.com/contest/2002/problem/C,15902,2025-03-03,ssk4988,https://codeforces.com/profile/ssk4988,0,0
1794E,Labeling the Tree with Distances,"[""data structures"", ""dp"", ""greedy"", ""hashing"", ""implementation"", ""trees""]",2400,https://codeforces.com/contest/1794/problem/E,1172,2025-03-03,ssk4988,https://codeforces.com/profile/ssk4988,0,0
2056D,Unique Median,"[""binary search"", ""brute force"", ""combinatorics"", ""data structures"", ""divide and conquer"", ""dp""]",2200,https://codeforces.com/contest/2056/problem/D,2745,2025-03-03,ssk4988,https://codeforces.com/profile/ssk4988,0,0
2061E,Kevin and And,"[""bitmasks"", ""brute force"", ""dp"", ""greedy"", ""math"", ""sortings""]",2000,https://codeforces.com/contest/2061/problem/E,2976,2025-03-03,ssk4988,https://codeforces.com/profile/ssk4988,0,0
1988E,Range Minimum Sum,"[""binary search"", ""brute force"", ""data structures"", ""divide and conquer"", ""implementation""]",2300,https://codeforces.com/contest/1988/problem/E,1538,2025-03-03,ssk4988,https://codeforces.com/profile/ssk4988,0,0
1763E,Node Pairs,"[""dp"", ""graphs"", ""math"", ""number theory""]",2200,https://codeforces.com/contest/1763/problem/E,1877,2025-03-03,ssk4988,https://codeforces.com/profile/ssk4988,0,0
2004E,Not a Nim Problem,"[""brute force"", ""games"", ""math"", ""number theory""]",2100,https://codeforces.com/contest/2004/problem/E,4347,2025-03-03,ssk4988,https://codeforces.com/profile/ssk4988,0,0
1285E,Delete a Segment,"[""brute force"", ""constructive algorithms"", ""data structures"", ""dp"", ""graphs"", ""sortings"", ""trees"", ""two pointers""]",2300,https://codeforces.com/contest/1285/problem/E,1868,2025-03-03,ssk4988,https://codeforces.com/profile/ssk4988,0,0
2033G,Sakurako and Chefir,"[""data structures"", ""dfs and similar"", ""dp"", ""greedy"", ""trees""]",2200,https://codeforces.com/contest/2033/problem/G,1499,2025-03-03,ssk4988,https://codeforces.com/profile/ssk4988,0,0
1674G,Remove Directed Edges,"[""dfs and similar"", ""dp"", ""graphs""]",2000,https://codeforces.com/contest/1674/problem/G,2613,2025-03-03,ssk4988,https://codeforces.com/profile/ssk4988,0,0
1750E,Bracket Cost,"[""binary search"", ""data structures"", ""divide and conquer"", ""dp"", ""greedy"", ""strings""]",2400,https://codeforces.com/contest/1750/problem/E,1495,2025-03-03,ssk4988,https://codeforces.com/profile/ssk4988,0,0
1657E,Star MST,"[""combinatorics"", ""dp"", ""graph matchings"", ""math""]",2200,https://codeforces.com/contest/1657/problem/E,2201,2025-03-03,ssk4988,https://codeforces.com/profile/ssk4988,0,0
1766E,Decomposition,"[""binary search"", ""brute force"", ""data structures"", ""divide and conquer"", ""dp"", ""two pointers""]",2300,https://codeforces.com/contest/1766/problem/E,1284,2025-03-03,ssk4988,https://codeforces.com/profile/ssk4988,0,0
1971G,XOUR,"[""data structures"", ""dsu"", ""sortings""]",1700,https://codeforces.com/contest/1971/problem/G,9859,2025-03-03,ssk4988,https://codeforces.com/profile/ssk4988,0,0
2026E,Best Subsequence,"[""bitmasks"", ""dfs and similar"", ""flows"", ""graph matchings"", ""graphs""]",2500,https://codeforces.com/contest/2026/problem/E,1408,2025-03-03,ssk4988,https://codeforces.com/profile/ssk4988,0,0
